wind_speed_kmph,blade_length_m,altitude_m,humidity_pct,turbine_output_mwh
64.9,31.6,158.0,111.4,6.31
38.0,52.8,61.7,82.7,4.77
59.4,62.9,162.7,117.4,10.51
66.0,76.2,155.9,91.7,12.01
77.4,57.9,97.4,142.6,7.98
64.2,26.5,131.5,164.8,5.59
43.0,29.0,104.1,61.5,4.76
70.1,57.9,83.4,56.7,9.69
106.4,43.1,88.0,172.9,5.98
100.5,49.2,85.6,107.6,10.08
112.5,44.0,160.3,175.0,9.94
96.5,29.0,177.0,57.8,13.05
52.8,66.6,73.2,127.3,3.66
72.8,48.2,157.3,104.8,10.86
82.9,42.7,171.7,72.6,11.92

93.7,62.7,199.4,174.7,13.75
73.6,42.2,59.2,144.2,4.97
59.4,48.8,124.1,65.1,8.17
58.2,75.6,100.0,70.1,8.87
69.2,35.3,164.9,142.7,7.54
