wind_speed_kmph,blade_length_m,altitude_m,humidity_pct,turbine_output_mwh
29.7,43.7,146.8,36.8,8.79
38.8,30.8,52.5,26.6,4.06
59.7,57.2,102.9,26.1,10.99
33.9,61.8,121.5,72.2,7.96
21.1,75.0,177.7,65.3,12.47
21.3,30.1,146.0,88.6,6.57
27.5,63.9,153.3,75.8,8.16
17.6,39.1,131.4,21.7,6.51
31.6,76.7,96.3,73.6,10.49
27.2,34.2,119.3,53.8,7.88
31.4,43.8,164.6,65.6,8.68
17.0,34.2,135.0,88.3,5.34
10.6,79.0,118.2,26.7,9.6
6.9,20.2,66.2,49.7,1.53
10.8,33.2,168.7,37.8,8.17
6.4,39.1,90.8,67.4,3.07
39.9,25.2,135.1,23.2,8.31
52.7,77.0,77.6,88.5,8.88
24.9,44.9,135.1,90.0,5.57
15.7,30.8,94.2,66.2,3.81
8.9,63.9,137.0,86.8,6.42
40.9,43.8,100.7,37.4,5.49
5.6,56.4,85.0,38.9,5.2
5.6,66.0,152.1,33.7,9.67
26.6,51.1,103.4,31.4,6.6
